"V1" "V74" "V3" "V4" "V69" "V5" "V8" "V9" "V11" "V12" "V13" "V14" "V17" "V38" "V18" "V20" "V43" "V57" "V22" "V23" "V48" "V27" "V65" "V64" "V31" "V32" "V66" "V34" "V50" "V21" "V37" "V39" "V41" "V28" "V71" "V26" "V42" "V44" "V51" "V49" "V52" "V55" "V62" "V63" "V67" "V40" "V19" "V73"
"23" 0 0 0.033183291554451 0 0 0 0 0 0 0 0.028352577239275 0 0.00890668760985136 0.0196831859648228 0 0.0397443063557148 0 0.435390025377274 0 0.0673476681113243 0 0.175325781106949 0 0 0.0155897662043571 0 0.177958637475967 0.00581858027726412 0 0.10094553232193 0.220642507076263 0 0.112495876848698 0.00102110242005438 0 0.084614172577858 0 0.60597175359726 0 0 0.073991946876049 0 0.418534487485886 0 0.071062907576561 0.161544322967529 0.00561322271823883 0
"24" 0 0 0.0343445166945457 0 0 0 0 0 0 0 0.0286001395434141 0 0.00754368770867586 0.0159267708659172 0 0.0386922657489777 0 0.440614014863968 0 0.064387246966362 0 0.177852228283882 0 0 0.0180888790637255 0 0.179871544241905 0.00141199433710426 0 0.106329180300236 0.235532656311989 0 0.114248588681221 0.00164949777536094 0 0.0815291181206703 0 0.61071503162384 0 0.00121786573436111 0.0810228437185287 0 0.406113475561142 0 0.0687814727425575 0.169519379734993 0.00326640531420708 0
"25" 0 0 0.0370170660316944 0 0 0 0 0.00214538839645684 0 0 0.0297127701342106 0 0.00901892874389887 0.0168641619384289 0 0.0397817902266979 0 0.398991376161575 0 0.0593667812645435 0 0.180785238742828 0 0 0.016917759552598 0 0.169403910636902 0.00289999367669225 0 0.101871579885483 0.236617922782898 0 0.094482421875 0.000958684657234699 0 0.0794775784015656 0 0.589418053627014 0 0.00165634730365127 0.0729101747274399 0 0.404134094715118 0 0.0695705562829971 0.178010791540146 0.00375134102068841 0
"26" 0 0 0.0338432006537914 0 0 0 0 0.00950434617698193 0 0 0.029984088614583 0 0.00484730070456862 0.0157653484493494 0 0.0379014164209366 0 0.404916495084763 0 0.0607419684529305 0 0.17496432363987 0 0 0.017797477543354 0 0.164583504199982 0.00211836537346244 0 0.107075870037079 0.244614511728287 0 0.095727413892746 0.0040964619256556 0 0.0787505134940147 0 0.579649984836578 0 0.000506708689499646 0.0700694695115089 0 0.412180304527283 0 0.0695212110877037 0.182653069496155 0.00758861377835274 0
"27" 0 0 0.0360226109623909 0 0 0 0 0.0273299887776375 0 0 0.0302449874579906 0 0.00677646556869149 0.0173811204731464 0 0.0388629138469696 0 0.399385660886765 0 0.0545900911092758 0 0.170158788561821 0 0 0.0172952264547348 0 0.167696669697762 0.001801842241548 0 0.105070494115353 0.241858035326004 0 0.082388311624527 0.0041783582419157 0 0.0802104473114014 0 0.561247110366821 0 0 0.0618650577962399 0 0.40636333823204 0 0.0729579627513885 0.186907917261124 0.00462418887764215 0
"28" 0 0 0.0307671092450619 0 0 0 0 0.0411574095487595 0 0 0.0321367681026459 0 0.00873438455164433 0.0177797097712755 0 0.0370505675673485 0.00357754458673298 0.395589023828506 0 0.0534195154905319 0 0.17290835082531 0 0 0.017215009778738 0 0.169952034950256 0.00227968418039382 0 0.101654045283794 0.238053113222122 0 0.0859573855996132 0.0052264672704041 0 0.077638678252697 0 0.551311194896698 0 0.00254693278111517 0.0631642192602158 0 0.399339318275452 0 0.0705184265971184 0.181682631373405 0.00383658730424941 0
"29" 0 0 0.0365478433668613 0 0 0 0 0.0413465313613415 0 0 0.0327930636703968 0 0.00690386677160859 0.0177375636994839 0 0.0341928042471409 0.00284596253186464 0.383068829774857 0 0.0526115000247955 0 0.166709169745445 0 0 0.0196319967508316 0 0.16312463581562 0.00157204864080995 0 0.101006060838699 0.246563732624054 0 0.0888837873935699 0.00232764915563166 0 0.0763265192508698 0 0.541702270507812 0 0 0.0581894554197788 0 0.399942666292191 0 0.0688195303082466 0.184184938669205 0.00224399799481034 0
"30" 0 0 0.0315006859600544 0 0 0 0 0.0372986979782581 0 0 0.0291996989399195 0 0.00615384941920638 0.0143680600449443 0 0.0346080437302589 0.00191461341455579 0.387432634830475 0 0.0517874956130981 0 0.175090834498405 0 0 0.0201909244060516 0 0.158866077661514 0.00125937559641898 0 0.0967986956238747 0.25066152215004 0 0.0826108828186989 0.00439433800056577 0 0.0745554119348526 0 0.556814253330231 0 0 0.0540146492421627 0 0.405713826417923 0 0.0676107704639435 0.175202742218971 0.00769703695550561 0
"31" 0 0 0.0293460972607136 0 0 0 0 0.0342893972992897 0 0 0.0299532935023308 0 0.00629350868985057 0.0160991847515106 0 0.0366077944636345 0.00234159920364618 0.368044406175613 0 0.045778714120388 0 0.166751548647881 0 0 0.0184422750025988 0 0.159470245242119 0.00225430889986455 0 0.0870871469378471 0.261867791414261 0 0.0828106626868248 0.00728145707398653 0 0.0721179619431496 0 0.547874450683594 0 0 0.0453072600066662 0 0.406616181135178 0 0.0669241473078728 0.179656520485878 0.00548547320067883 0
"32" 0 0 0.0307392720133066 0 0 0 0 0.0371307469904423 0 0 0.030642569065094 0 0.00468761939555407 0.0172217320650816 0 0.0339028537273407 0 0.382123321294785 0 0.0496373176574707 0 0.16982626914978 0 0 0.0197504386305809 0 0.154894754290581 0 0 0.0928803980350494 0.268682986497879 0 0.0857604369521141 0.00624326057732105 0 0.0763060376048088 0 0.53828638792038 0 0 0.0425993241369724 0 0.394053101539612 0 0.0680610164999962 0.179338306188583 0.00571653340011835 0
